name,address,dong,latitude,longitude,category
협진95호,서울특별시 금천구 범안로 1209,독산1동,37.4668179719467,126.896262531894,육류소매
선수산업,서울특별시 서초구 반포대로19길 17,서초3동,37.4870880640345,127.008666794064,청과물소매
마담주,서울특별시 강남구 삼성로149길 3-10,청담동,37.5228429023706,127.047110689726,청과물소매
대창정육점,서울특별시 은평구 갈현로41길 13-9,갈현1동,37.624227212949,126.915462872251,육류소매
싱싱과일나라,서울특별시 구로구 구로중앙로14길 10,구로4동,37.493092140362,126.891409165157,청과물소매
푸른목장정육점,서울특별시 관악구 난곡로 53,난향동,37.4601648524634,126.919295050566,육류소매
웰빙유통,서울특별시 관악구 청림5길 72-10,청림동,37.4910413754387,126.960181593643,수산물소매
자연드림,서울특별시 강서구 금낭화로 63,방화2동,37.5710281443,126.811364883672,식료품점
매일정육점,서울특별시 동대문구 장한로6길 22,장안1동,37.5632263594087,127.067220057503,육류소매
서영푸드,서울특별시 중구 을지로32길 34,광희동,37.565280640479,127.0000588186,청과물소매
OK축산물직판장,서울특별시 노원구 상계로12길 52,상계2동,37.6559914434362,127.069868741895,육류소매
고려청과,서울특별시 성북구 종암로14길 20-28,종암동,37.5961417065294,127.036947583001,청과물소매
협진119호,서울특별시 금천구 범안로 1209,독산1동,37.4668179719467,126.896262531894,육류소매
평화정육점,서울특별시 동작구 동작대로11길 104,사당1동,37.4816081602117,126.97574604535,육류소매
대화,서울특별시 동작구 장승배기로19길 18,노량진2동,37.5082332104996,126.938882553521,육류소매
협진31호,서울특별시 금천구 범안로 1209,독산1동,37.4668179719467,126.896262531894,육류소매
협진79호,서울특별시 금천구 범안로 1209,독산1동,37.4668179719467,126.896262531894,육류소매
대주건해,서울특별시 송파구 양재대로 932,가락1동,37.4945258840774,127.108696384278,수산물소매
가은농산,서울특별시 강남구 개포로110길 15,일원2동,37.4932446858717,127.079105664258,청과물소매
우렁깍지식품점,서울특별시 서초구 효령로10길 18,방배3동,37.4774950818053,126.988849472352,식료품점
153생선,서울특별시 은평구 갈현로33길 5-1,갈현2동,37.6204151221348,126.915382321546,수산물소매
준과일유통,서울특별시 강남구 논현로63길 25,역삼1동,37.4922755298847,127.038882146547,청과물소매
왕자수산물,서울특별시 동작구 노들로 674,노량진2동,37.5148116028673,126.937963659637,수산물소매
초록마을,서울특별시 송파구 잠실로 62,잠실3동,37.5080094298205,127.090269078215,유기농식품판매
한살림생협보라매매장,서울특별시 영등포구 여의대방로 25,신길6동,37.4947062140224,126.908958959245,유기농식품판매
대원과일,서울특별시 강북구 월계로7길 59,송중동,37.6127317104952,127.033868038789,청과물소매
양문,서울특별시 중구 다산로 143-1,다산동,37.5566813695931,127.011435269906,식료품점
충남유통,서울특별시 영등포구 영등포로 237-1,영등포동,37.5196100671715,126.907872439733,육류소매
농협쌀직판장,서울특별시 강동구 고덕로24길 46,암사1동,37.5526701922972,127.135234561175,청과물소매
광진과일,서울특별시 종로구 창경궁로 88,종로1.2.3.4가동,37.5700702891715,126.999598582226,청과물소매
매일유업풀바셋신문로,서울특별시 종로구 새문안로3길 12,사직동,37.5713373346185,126.972967563172,식료품점
SM푸드,서울특별시 강남구 봉은사로 129-1,논현1동,37.5060722654236,127.028062116788,청과물소매
지오티,서울특별시 강북구 도봉로 369,수유3동,37.6403430253052,127.027720526754,식료품점
꽃보다한우,서울특별시 동작구 상도로 247,상도2동,37.5050283236247,126.946245653073,육류소매
펠리니코리아,서울특별시 광진구 자양로43길 36,구의2동,37.5522445992153,127.090580474605,식료품점
스윗홀릭,서울특별시 광진구 군자로 104-1,군자동,37.5523407880204,127.071679036243,식료품점
대성유화,서울특별시 영등포구 도신로15길 16,도림동,37.5068679548045,126.898025696244,식료품점
매일농산,서울특별시 영등포구 영신로 145,당산1동,37.5208605641591,126.90086302013,청과물소매
광진식품,서울특별시 은평구 가좌로7나길 10,응암3동,37.5853986443139,126.919049556295,식료품점
평화축산,서울특별시 강동구 천중로55길 38,길동,37.5423926374696,127.146861726641,육류소매
종로쌀과일,서울특별시 관악구 신사로14길 39,신사동,37.486875831533,126.916761945587,청과물소매
우미정육점,서울특별시 강서구 방화동로12길 14,방화1동,37.5664808149612,126.813440684913,육류소매
로얄식품,서울특별시 구로구 가마산로21길 1,구로2동,37.4939486668628,126.885719621785,식료품점
경북방앗간,서울특별시 성북구 한천로73길 8,석관동,37.6099392229713,127.063012559174,청과물소매
논두렁밭두렁,서울특별시 강서구 화곡로13길 107,화곡3동,37.5472328839129,126.832225736429,청과물소매
KY식품,서울특별시 중랑구 겸재로27길 25,면목2동,37.5887125974519,127.083920599789,식료품점
명품한우,서울특별시 강북구 삼양로123길 11,인수동,37.6446075795281,127.015007696837,육류소매
광장수산연쇄점,서울특별시 종로구 창경궁로 88,종로1.2.3.4가동,37.5700702891715,126.999598582226,수산물소매
한농마을,서울특별시 강남구 언주로 110,개포1동,37.4854018342042,127.054687483353,식료품점
한국식품정보원,서울특별시 송파구 법원로 128,문정2동,37.4864787291748,127.11942114984,식료품점
윈플러스,서울특별시 영등포구 선유서로26길 29,양평1동,37.5239400606363,126.889086192816,청과물소매
봉천식품,서울특별시 송파구 양재대로 932,가락1동,37.4945258840774,127.108696384278,식료품점
5단지정육점,서울특별시 강서구 양천로57길 36,가양2동,37.5646151318736,126.853506122961,육류소매
내고향한우마을,서울특별시 성북구 서경로 28,정릉1동,37.6061845436973,127.01574110785,육류소매
털보한우직판장,서울특별시 강북구 노해로 88,수유2동,37.6433016711495,127.022662212665,육류소매
계림원누룽지통닭전문점,서울특별시 영등포구 영신로 83,문래동,37.5151997032872,126.902552321168,식료품점
희망식품,서울특별시 광진구 동일로76길 12,중곡3동,37.5675925099456,127.079345748308,식료품점
농협유통,서울특별시 성북구 정릉로26길 23,정릉2동,37.603906471961,127.011614746811,청과물소매
삼성정육점,서울특별시 중구 퇴계로56길 60,장충동,37.5612975036479,127.005330029968,육류소매
